Episode,Observation,Action1,Action2
0,"[ 3.84993486e-01  4.16680928e-01  5.44358869e-01  1.00000000e+00
  9.34801791e-01  1.00000000e+00  5.44580044e-01  4.16768121e-01
  3.85020413e-01 -2.99801774e-01  7.36815240e-06 -2.20525793e-01
  3.84979594e-01  4.16673887e-01  5.44364440e-01  1.00000000e+00
  9.34797090e-01  1.00000000e+00  5.44585637e-01  4.16761088e-01
  3.85006528e-01  2.99801774e-01 -7.36815240e-06  2.27390537e-01
  4.45537692e-03 -6.82743752e-02  5.94647034e-01  5.85815255e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993496e-01  4.16681010e-01  5.44359108e-01  1.00000000e+00
  9.34820990e-01  1.00000000e+00  5.44579807e-01  4.16768040e-01
  3.85020404e-01 -2.99820973e-01  7.37877508e-06 -2.20512757e-01
  3.84979603e-01  4.16673968e-01  5.44364677e-01  1.00000000e+00
  9.34816288e-01  1.00000000e+00  5.44585398e-01  4.16761006e-01
  3.85006518e-01  2.99820973e-01 -7.37877508e-06  2.27375828e-01
  4.45537692e-03 -6.82743752e-02  5.94515766e-01  5.85682007e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993505e-01  4.16681087e-01  5.44359334e-01  1.00000000e+00
  9.34838691e-01  1.00000000e+00  5.44579581e-01  4.16767963e-01
  3.85020396e-01 -2.99838674e-01  7.38866379e-06 -2.20500753e-01
  3.84979611e-01  4.16674045e-01  5.44364903e-01  1.00000000e+00
  9.34833990e-01  1.00000000e+00  5.44585171e-01  4.16760928e-01
  3.85006509e-01  2.99838674e-01 -7.38866379e-06  2.27362254e-01
  4.45537692e-03 -6.82743752e-02  5.94381764e-01  5.85545984e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993514e-01  4.16681161e-01  5.44359549e-01  1.00000000e+00
  9.34855376e-01  1.00000000e+00  5.44579368e-01  4.16767890e-01
  3.85020388e-01 -2.99855359e-01  7.39844323e-06 -2.20489441e-01
  3.84979619e-01  4.16674118e-01  5.44365116e-01  1.00000000e+00
  9.34850674e-01  1.00000000e+00  5.44584957e-01  4.16760855e-01
  3.85006500e-01  2.99855359e-01 -7.39844323e-06  2.27349461e-01
  4.45537692e-03 -6.82743752e-02  5.94247000e-01  5.85409186e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993523e-01  4.16681232e-01  5.44359755e-01  1.00000000e+00
  9.34871426e-01  1.00000000e+00  5.44579163e-01  4.16767820e-01
  3.85020380e-01 -2.99871410e-01  7.40807160e-06 -2.20478559e-01
  3.84979627e-01  4.16674188e-01  5.44365321e-01  1.00000000e+00
  9.34866725e-01  1.00000000e+00  5.44584751e-01  4.16760784e-01
  3.85006491e-01  2.99871410e-01 -7.40807160e-06  2.27337155e-01
  4.45537692e-03 -6.82743752e-02  5.94113597e-01  5.85273768e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993532e-01  4.16681301e-01  5.44359956e-01  1.00000000e+00
  9.34887143e-01  1.00000000e+00  5.44578962e-01  4.16767751e-01
  3.85020372e-01 -2.99887127e-01  7.41758432e-06 -2.20467904e-01
  3.84979635e-01  4.16674256e-01  5.44365521e-01  1.00000000e+00
  9.34882441e-01  1.00000000e+00  5.44584550e-01  4.16760714e-01
  3.85006482e-01  2.99887127e-01 -7.41758432e-06  2.27325107e-01
  4.45537692e-03 -6.82743752e-02  5.94116753e-01  5.85276972e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993540e-01  4.16681370e-01  5.44360154e-01  1.00000000e+00
  9.34902764e-01  1.00000000e+00  5.44578765e-01  4.16767684e-01
  3.85020364e-01 -2.99902748e-01  7.42704224e-06 -2.20457312e-01
  3.84979643e-01  4.16674324e-01  5.44365718e-01  1.00000000e+00
  9.34898063e-01  1.00000000e+00  5.44584351e-01  4.16760646e-01
  3.85006473e-01  2.99902748e-01 -7.42704224e-06  2.27313137e-01
  4.45537692e-03 -6.82743752e-02  5.94119662e-01  5.85279925e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993549e-01  4.16681438e-01  5.44360352e-01  1.00000000e+00
  9.34918479e-01  1.00000000e+00  5.44578568e-01  4.16767616e-01
  3.85020356e-01 -2.99918462e-01  7.43651269e-06 -2.20446655e-01
  3.84979651e-01  4.16674391e-01  5.44365916e-01  1.00000000e+00
  9.34913777e-01  1.00000000e+00  5.44584153e-01  4.16760577e-01
  3.85006465e-01  2.99918462e-01 -7.43651269e-06  2.27301098e-01
  4.45537692e-03 -6.82743752e-02  5.94122344e-01  5.85282648e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993558e-01  4.16681507e-01  5.44360552e-01  1.00000000e+00
  9.34934439e-01  1.00000000e+00  5.44578369e-01  4.16767548e-01
  3.85020347e-01 -2.99934422e-01  7.44605982e-06 -2.20435829e-01
  3.84979660e-01  4.16674459e-01  5.44366114e-01  1.00000000e+00
  9.34929737e-01  1.00000000e+00  5.44583953e-01  4.16760509e-01
  3.85006456e-01  2.99934422e-01 -7.44605982e-06  2.27288877e-01
  4.45537692e-03 -6.82743752e-02  5.94124816e-01  5.85285157e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993567e-01  4.16681576e-01  5.44360754e-01  1.00000000e+00
  9.34950768e-01  1.00000000e+00  5.44578168e-01  4.16767479e-01
  3.85020339e-01 -2.99950752e-01  7.45574066e-06 -2.20424751e-01
  3.84979668e-01  4.16674528e-01  5.44366315e-01  1.00000000e+00
  9.34946067e-01  1.00000000e+00  5.44583750e-01  4.16760439e-01
  3.85006447e-01  2.99950752e-01 -7.45574066e-06  2.27276376e-01
  4.45537692e-03 -6.82743752e-02  5.94127094e-01  5.85287469e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993576e-01  4.16681648e-01  5.44360960e-01  1.00000000e+00
  9.34967570e-01  1.00000000e+00  5.44577963e-01  4.16767409e-01
  3.85020331e-01 -2.99967554e-01  7.46560398e-06 -2.20413349e-01
  3.84979676e-01  4.16674599e-01  5.44366520e-01  1.00000000e+00
  9.34962868e-01  1.00000000e+00  5.44583544e-01  4.16760368e-01
  3.85006438e-01  2.99967554e-01 -7.46560398e-06  2.27263520e-01
  4.45537692e-03 -6.82743752e-02  5.94129192e-01  5.85289599e-01]","[0, 0]","[0, 0]"
