episode,timestep,reward
1,4000,-1916474.2477
3,8000,-1882479.9068
5,12000,-1878479.9068
7,16000,-1857479.9068
9,20000,-1853979.9068
11,24000,-1901479.9068
13,28000,-1879475.5695
15,32000,-1888979.9068
17,36000,-1876976.128
19,40000,-1872978.6983
21,44000,-1797977.0279
23,48000,-1865477.5226
25,52000,-1817476.4752
27,56000,-1799976.2215
29,60000,-1857978.7615
31,64000,-1568880.5986
33,68000,-1091305.9926
35,72000,-1814979.9068
37,76000,-1871979.9068
39,80000,-1771979.3204
41,84000,-1650469.8138
43,88000,-1392978.3675
45,92000,-2080000.1067
47,96000,-1843476.6966
49,100000,-1806878.0535
51,104000,-1717208.9806
53,108000,-716479.9068
55,112000,-1318974.5588
57,116000,-971117.5516
59,120000,-1499479.9068
61,124000,-2171333.6185
63,128000,-1573979.9068
65,132000,-1166420.8141
67,136000,-692445.9855
69,140000,-2333978.2908
71,144000,-123922.3037
73,148000,-1593967.5694
75,152000,-1264979.173
77,156000,-156996.1604
79,160000,-678978.8089
81,164000,-1796305.3203
83,168000,-1313388.3539
85,172000,-646451.6274
87,176000,-973448.6582
89,180000,-502972.7482
91,184000,-199477.5114
93,188000,-629478.0933
95,192000,-1604899.7257
97,196000,-139949.4039
99,200000,-811546.5746
101,204000,-136434.4154
103,208000,-39478.4355
105,212000,-1479.9068
107,216000,-569479.9068
109,220000,-955610.8726
111,224000,-153978.784
113,228000,-479904.8918
116,232000,-469637.8093
118,236000,-251504.6435
120,240000,-14424.6054
122,244000,-460479.9068
124,248000,-1471.0336
126,252000,-628583.4697
128,256000,-704975.4269
130,260000,-871913.7418
132,264000,-362661.6025
134,268000,-215882.0778
137,272000,-8065.0279
139,276000,-539505.9194
141,280000,-284240.1272
143,284000,-381979.9068
145,288000,-224095.802
147,292000,-1088384.0075
149,296000,-1120979.7777
151,300000,-705.3787
153,304000,-101929.8949
155,308000,-239454.4735
157,312000,-1418.2264
159,316000,-558479.1447
161,320000,-1416.036
163,324000,-157921.0459
165,328000,-587335.9789
167,332000,-192606.8156
169,336000,-355479.9068
171,340000,-1428479.9068
173,344000,-15482.706
175,348000,-74438.3704
177,352000,-1590.012
179,356000,-539346.0036
181,360000,-306065.882
183,364000,-74979.9068
185,368000,-1266.9938
187,372000,-448481.5895
189,376000,-1479.9977
191,380000,-248187.0747
193,384000,-1448.327
195,388000,-131979.9068
197,392000,-503476.5969
199,396000,-1479.0058
201,400000,-957284.8832
203,404000,-538667.7073
205,408000,-554164.039
207,412000,-630763.1586
209,416000,-1479.599
211,420000,-156419.1851
213,424000,-470367.2278
215,428000,-245482.091
217,432000,-141019.4546
219,436000,-638479.9068
221,440000,-316979.9068
223,444000,-378469.3718
225,448000,-319982.3215
227,452000,-330614.1934
229,456000,-788984.203
231,460000,-1478.1664
233,464000,-379168.7476
235,468000,-1479.9068
237,472000,-1479.9068
239,476000,-747479.9068
241,480000,-1206150.9648
243,484000,-1532678.4341
245,488000,-27047.2707
247,492000,-1479.6863
249,496000,-1479.9068
251,500000,-224881.9461
253,504000,-152503.4257
255,508000,-419312.1052
257,512000,-439055.678
259,516000,-34479.7058
261,520000,-170127.9829
263,524000,-587785.5652
265,528000,-641632.1214
267,532000,-1479.9068
269,536000,-521997.2595
271,540000,-306979.9068
273,544000,-480159.1379
275,548000,-1542.8497
277,552000,-1478.0679
279,556000,-1021.9805
281,560000,-69417.8621
283,564000,-708750.4774
285,568000,-162587.4314
287,572000,-99510.3962
289,576000,-1017574.2726
291,580000,-326979.9068
293,584000,-357479.9068
295,588000,-465659.0984
297,592000,-109509.1745
299,596000,-52080.144
301,600000,-1490.1966
303,604000,-590941.4107
305,608000,-30852.3844
308,612000,-18392.8364
310,616000,-1168097.1352
