episode,timestep,reward
1,4000,2745.0639
1,4000,3501.1223
3,8000,2789.6609
3,8000,3856.4129
5,12000,2988.6932
5,12000,3472.3567
7,16000,2686.8201
7,16000,3612.8907
9,20000,2704.6641
9,20000,4664.8082
11,24000,2745.4282
11,24000,3741.8626
13,28000,3025.7513
13,28000,2314.043
15,32000,2944.4705
15,32000,1858.5019
17,36000,3208.4641
17,36000,1767.2184
19,40000,3525.102
19,40000,2998.1067
21,44000,3068.476
21,44000,3218.0833
23,48000,3431.0205
23,48000,1939.5389
25,52000,4322.1782
25,52000,1835.2158
27,56000,2964.7718
27,56000,816.017
29,60000,3616.5483
29,60000,3250.691
31,64000,3200.9106
31,64000,2487.1945
