episode,timestep,reward
1,4000,38.0
1,4000,0.0
3,8000,664.0
3,8000,0.0
5,12000,905.0
5,12000,0.0
7,16000,631.0
7,16000,0.0
9,20000,646.0
9,20000,0.0
11,24000,462.0
11,24000,58.0
13,28000,241.0
13,28000,11.0
15,32000,779.0
15,32000,0.0
17,36000,1398.0
17,36000,0.0
19,40000,1000.0
19,40000,0.0
21,44000,922.0
21,44000,20.0
23,48000,699.0
23,48000,0.0
25,52000,295.0
25,52000,0.0
27,56000,1434.0
27,56000,0.0
29,60000,2704.0
29,60000,0.0
31,64000,1672.0
31,64000,101.0
33,68000,2041.0
33,68000,24.0
35,72000,107.0
35,72000,82.0
37,76000,350.0
37,76000,551.0
39,80000,295.0
39,80000,90.0
41,84000,555.0
41,84000,1420.0
43,88000,287.0
43,88000,215.0
45,92000,85.0
45,92000,150.0
47,96000,195.0
47,96000,75.0
49,100000,646.0
49,100000,529.0
51,104000,652.0
51,104000,297.0
53,108000,343.0
53,108000,459.0
55,112000,475.0
55,112000,6.0
57,116000,304.0
57,116000,162.0
59,120000,154.0
59,120000,54.0
61,124000,21.0
61,124000,146.0
63,128000,303.0
63,128000,20.0
65,132000,320.0
65,132000,41.0
67,136000,960.0
67,136000,1103.0
69,140000,1520.0
69,140000,168.0
71,144000,271.0
71,144000,423.0
73,148000,136.0
73,148000,124.0
75,152000,80.0
75,152000,34.0
77,156000,1405.0
77,156000,438.0
79,160000,326.0
79,160000,0.0
81,164000,843.0
81,164000,295.0
83,168000,1913.0
83,168000,0.0
85,172000,1047.0
85,172000,589.0
87,176000,233.0
87,176000,157.0
89,180000,174.0
89,180000,80.0
91,184000,1598.0
91,184000,1582.0
93,188000,863.0
93,188000,895.0
95,192000,1174.0
95,192000,1797.0
97,196000,60.0
97,196000,237.0
99,200000,678.0
99,200000,485.0
101,204000,22.0
101,204000,61.0
103,208000,896.0
103,208000,725.0
105,212000,497.0
105,212000,713.0
107,216000,49.0
107,216000,95.0
109,220000,486.0
109,220000,1919.0
111,224000,63.0
111,224000,275.0
113,228000,331.0
113,228000,618.0
115,232000,128.0
115,232000,125.0
117,236000,1294.0
117,236000,30.0
119,240000,458.0
119,240000,1154.0
121,244000,228.0
121,244000,50.0
123,248000,117.0
123,248000,1550.0
125,252000,595.0
125,252000,1455.0
127,256000,60.0
127,256000,156.0
129,260000,450.0
129,260000,1227.0
131,264000,1037.0
131,264000,539.0
133,268000,407.0
133,268000,146.0
135,272000,204.0
135,272000,498.0
137,276000,64.0
137,276000,234.0
139,280000,50.0
139,280000,159.0
141,284000,234.0
141,284000,67.0
143,288000,81.0
143,288000,1294.0
145,292000,515.0
145,292000,69.0
147,296000,833.0
147,296000,136.0
149,300000,40.0
149,300000,299.0
151,304000,1627.0
151,304000,325.0
153,308000,96.0
153,308000,906.0
155,312000,21.0
155,312000,117.0
157,316000,285.0
157,316000,208.0
159,320000,2068.0
159,320000,202.0
161,324000,478.0
161,324000,386.0
163,328000,79.0
163,328000,1017.0
165,332000,95.0
165,332000,1929.0
167,336000,1108.0
167,336000,52.0
169,340000,106.0
169,340000,970.0
171,344000,79.0
171,344000,180.0
173,348000,1277.0
173,348000,230.0
175,352000,463.0
175,352000,444.0
177,356000,0.0
177,356000,260.0
179,360000,343.0
179,360000,0.0
181,364000,1362.0
181,364000,152.0
183,368000,0.0
183,368000,144.0
185,372000,286.0
185,372000,548.0
187,376000,923.0
187,376000,142.0
189,380000,86.0
189,380000,446.0
191,384000,26.0
191,384000,117.0
193,388000,270.0
193,388000,128.0
195,392000,731.0
195,392000,1710.0
197,396000,111.0
197,396000,456.0
199,400000,118.0
199,400000,110.0
201,404000,52.0
201,404000,265.0
203,408000,0.0
203,408000,3484.0
205,412000,6.0
205,412000,93.0
207,416000,92.0
207,416000,73.0
209,420000,153.0
209,420000,240.0
211,424000,0.0
211,424000,267.0
213,428000,181.0
213,428000,36.0
215,432000,161.0
215,432000,260.0
217,436000,197.0
217,436000,153.0
219,440000,131.0
219,440000,169.0
221,444000,117.0
221,444000,1100.0
223,448000,205.0
223,448000,153.0
225,452000,1092.0
225,452000,134.0
227,456000,1435.0
227,456000,610.0
229,460000,10.0
229,460000,1577.0
231,464000,101.0
231,464000,1116.0
233,468000,36.0
233,468000,17.0
235,472000,729.0
235,472000,69.0
237,476000,20.0
237,476000,184.0
239,480000,1040.0
239,480000,164.0
241,484000,127.0
241,484000,115.0
243,488000,90.0
243,488000,985.0
245,492000,0.0
245,492000,1007.0
247,496000,220.0
247,496000,211.0
249,500000,222.0
249,500000,146.0
251,504000,0.0
251,504000,992.0
253,508000,638.0
253,508000,335.0
255,512000,0.0
255,512000,1797.0
257,516000,179.0
257,516000,192.0
259,520000,67.0
259,520000,109.0
261,524000,215.0
261,524000,433.0
263,528000,270.0
263,528000,0.0
265,532000,210.0
265,532000,54.0
267,536000,463.0
267,536000,71.0
269,540000,1328.0
269,540000,1031.0
271,544000,1207.0
271,544000,2115.0
273,548000,224.0
273,548000,110.0
275,552000,20.0
275,552000,178.0
277,556000,52.0
277,556000,240.0
279,560000,252.0
279,560000,961.0
281,564000,20.0
281,564000,112.0
283,568000,94.0
283,568000,309.0
285,572000,2523.0
285,572000,55.0
287,576000,179.0
287,576000,274.0
289,580000,457.0
289,580000,47.0
291,584000,657.0
291,584000,90.0
293,588000,303.0
293,588000,183.0
295,592000,289.0
295,592000,98.0
297,596000,356.0
297,596000,101.0
299,600000,132.0
299,600000,30.0
301,604000,28.0
301,604000,229.0
303,608000,443.0
303,608000,284.0
305,612000,1735.0
305,612000,146.0
307,616000,54.0
307,616000,166.0
309,620000,438.0
309,620000,852.0
311,624000,357.0
311,624000,79.0
313,628000,25.0
313,628000,362.0
315,632000,119.0
315,632000,176.0
317,636000,3518.0
317,636000,114.0
319,640000,78.0
319,640000,1197.0
321,644000,292.0
321,644000,408.0
323,648000,99.0
323,648000,71.0
325,652000,494.0
325,652000,190.0
327,656000,459.0
327,656000,289.0
329,660000,164.0
329,660000,119.0
331,664000,104.0
331,664000,147.0
333,668000,87.0
333,668000,219.0
335,672000,183.0
335,672000,57.0
337,676000,95.0
337,676000,61.0
339,680000,181.0
339,680000,0.0
341,684000,115.0
341,684000,86.0
343,688000,283.0
343,688000,52.0
345,692000,1747.0
345,692000,870.0
347,696000,180.0
347,696000,300.0
349,700000,214.0
349,700000,85.0
351,704000,286.0
351,704000,365.0
353,708000,112.0
353,708000,133.0
355,712000,106.0
355,712000,137.0
357,716000,508.0
357,716000,535.0
359,720000,104.0
359,720000,85.0
361,724000,387.0
361,724000,145.0
363,728000,1714.0
363,728000,131.0
365,732000,232.0
365,732000,162.0
367,736000,200.0
367,736000,353.0
369,740000,100.0
369,740000,99.0
371,744000,1370.0
371,744000,177.0
373,748000,286.0
373,748000,131.0
375,752000,367.0
375,752000,1128.0
377,756000,104.0
377,756000,10.0
379,760000,62.0
379,760000,17.0
381,764000,1284.0
381,764000,28.0
383,768000,2966.0
383,768000,161.0
385,772000,154.0
385,772000,73.0
387,776000,127.0
387,776000,33.0
389,780000,66.0
389,780000,96.0
391,784000,136.0
391,784000,53.0
393,788000,182.0
393,788000,466.0
395,792000,672.0
395,792000,251.0
397,796000,52.0
397,796000,99.0
399,800000,906.0
399,800000,303.0
401,804000,104.0
401,804000,144.0
403,808000,328.0
403,808000,202.0
405,812000,693.0
405,812000,1146.0
407,816000,19.0
407,816000,1995.0
409,820000,1836.0
409,820000,341.0
411,824000,319.0
411,824000,168.0
413,828000,1550.0
413,828000,192.0
415,832000,164.0
415,832000,300.0
417,836000,424.0
417,836000,208.0
419,840000,54.0
419,840000,598.0
421,844000,1197.0
421,844000,104.0
423,848000,71.0
423,848000,176.0
425,852000,159.0
425,852000,102.0
427,856000,95.0
427,856000,506.0
429,860000,274.0
429,860000,879.0
431,864000,131.0
431,864000,70.0
433,868000,117.0
433,868000,302.0
435,872000,39.0
435,872000,24.0
437,876000,49.0
437,876000,171.0
439,880000,127.0
439,880000,695.0
441,884000,89.0
441,884000,201.0
443,888000,269.0
443,888000,37.0
445,892000,193.0
445,892000,73.0
447,896000,375.0
447,896000,756.0
449,900000,492.0
449,900000,36.0
451,904000,517.0
451,904000,285.0
453,908000,270.0
453,908000,25.0
455,912000,823.0
455,912000,501.0
457,916000,848.0
457,916000,0.0
459,920000,197.0
459,920000,46.0
461,924000,78.0
461,924000,184.0
463,928000,274.0
463,928000,24.0
465,932000,414.0
465,932000,8.0
467,936000,257.0
467,936000,395.0
469,940000,680.0
469,940000,886.0
471,944000,629.0
471,944000,33.0
473,948000,179.0
473,948000,1222.0
475,952000,833.0
475,952000,135.0
477,956000,965.0
477,956000,32.0
479,960000,56.0
479,960000,88.0
481,964000,924.0
481,964000,24.0
483,968000,140.0
483,968000,13.0
485,972000,286.0
485,972000,408.0
487,976000,825.0
487,976000,282.0
489,980000,122.0
489,980000,239.0
491,984000,471.0
491,984000,138.0
493,988000,82.0
493,988000,67.0
495,992000,304.0
495,992000,122.0
497,996000,68.0
497,996000,131.0
499,1000000,1179.0
499,1000000,405.0
501,1004000,430.0
501,1004000,1384.0
503,1008000,129.0
503,1008000,128.0
505,1012000,87.0
505,1012000,79.0
507,1016000,1267.0
507,1016000,536.0
509,1020000,76.0
509,1020000,1523.0
511,1024000,17.0
511,1024000,88.0
513,1028000,84.0
513,1028000,137.0
515,1032000,99.0
515,1032000,213.0
517,1036000,100.0
517,1036000,258.0
519,1040000,113.0
519,1040000,82.0
522,1044000,559.3333
522,1044000,-312.6667
524,1048000,2495.0
524,1048000,0.0
526,1052000,342.0
526,1052000,581.0
528,1056000,104.0
528,1056000,85.0
530,1060000,56.0
530,1060000,53.0
532,1064000,1207.0
532,1064000,17.0
534,1068000,134.0
534,1068000,308.0
536,1072000,207.0
536,1072000,65.0
538,1076000,664.0
538,1076000,260.0
540,1080000,1814.0
540,1080000,110.0
542,1084000,0.0
542,1084000,107.0
544,1088000,311.0
544,1088000,162.0
546,1092000,481.0
546,1092000,207.0
548,1096000,115.0
548,1096000,160.0
550,1100000,365.0
550,1100000,56.0
552,1104000,263.0
552,1104000,63.0
554,1108000,532.0
554,1108000,0.0
556,1112000,331.0
556,1112000,162.0
558,1116000,943.0
558,1116000,110.0
560,1120000,202.0
560,1120000,434.0
562,1124000,190.0
562,1124000,605.0
564,1128000,116.0
564,1128000,99.0
566,1132000,105.0
566,1132000,105.0
568,1136000,533.0
568,1136000,185.0
570,1140000,314.0
570,1140000,95.0
572,1144000,674.0
572,1144000,1074.0
574,1148000,523.0
574,1148000,0.0
576,1152000,189.0
576,1152000,133.0
578,1156000,1930.0
578,1156000,260.0
580,1160000,48.0
580,1160000,53.0
582,1164000,886.0
582,1164000,245.0
584,1168000,302.0
584,1168000,0.0
586,1172000,106.0
586,1172000,52.0
588,1176000,66.0
588,1176000,1246.0
590,1180000,95.0
590,1180000,688.0
