episode,timestep,reward
1,4000,-3105.0986
3,8000,-3114.6947
5,12000,-3114.5705
7,16000,-3097.2783
9,20000,-3105.0025
11,24000,-3102.5784
13,28000,-3111.5674
15,32000,-3110.8196
17,36000,-3116.4823
19,40000,-3112.3644
21,44000,-3116.751
23,48000,-3115.9329
25,52000,-3105.4227
27,56000,-3094.3878
29,60000,-3115.8259
31,64000,-3116.6121
33,68000,-3119.0915
35,72000,-3099.9103
37,76000,-3119.2288
39,80000,-3108.4333
41,84000,-3119.6075
43,88000,-3107.4181
45,92000,-3113.1884
47,96000,-3119.8725
49,100000,-3119.1789
51,104000,-3112.7051
53,108000,-3102.4092
55,112000,-3121.8859
57,116000,-3113.7085
59,120000,-3106.9971
61,124000,-3122.2822
63,128000,-3100.8599
65,132000,-3117.1604
67,136000,-3105.1626
