episode,timestep,reward
1,4000,-4191.6756
3,8000,-4191.6756
5,12000,-4188.9029
7,16000,-4183.4525
9,20000,-4184.712
11,24000,-4186.4629
13,28000,-4187.2205
15,32000,-4182.6476
17,36000,-4184.3118
19,40000,-4187.083
21,44000,-4191.343
23,48000,-4183.2409
25,52000,-4191.6756
27,56000,-4191.6756
29,60000,-4184.8637
31,64000,-4191.6756
33,68000,-4187.6702
35,72000,-4191.6756
37,76000,-4191.6756
39,80000,-4191.6571
41,84000,-4191.6756
43,88000,-4180.0294
45,92000,-4173.6844
47,96000,-4175.3511
49,100000,-4182.921
51,104000,-4182.6298
53,108000,-4182.7152
55,112000,-4191.6756
57,116000,-4185.2417
59,120000,-4191.6756
61,124000,-4191.6756
63,128000,-4191.6756
65,132000,-4187.447
67,136000,-4178.8343
69,140000,-4186.2799
71,144000,-4191.6756
73,148000,-4185.8397
75,152000,-4191.6756
77,156000,-4191.6756
79,160000,-4184.7067
81,164000,-4187.2431
83,168000,-4185.7791
85,172000,-4191.6756
87,176000,-4183.1835
89,180000,-4191.6756
91,184000,-4191.6756
93,188000,-4191.6756
95,192000,-4191.6756
97,196000,-4183.8248
99,200000,-4191.6756
101,204000,-4191.6756
103,208000,-4189.5822
105,212000,-4184.4555
107,216000,-4191.6756
109,220000,-4191.6756
111,224000,-4191.6756
113,228000,-4191.6756
115,232000,-4185.724
117,236000,-4191.6756
119,240000,-4187.0247
121,244000,-4175.7962
123,248000,-4190.3181
125,252000,-4191.6756
127,256000,-4191.6756
129,260000,-4183.3784
131,264000,-4185.4553
133,268000,-4189.1943
135,272000,-4191.6756
137,276000,-4191.2522
139,280000,-4188.7861
141,284000,-4191.6756
143,288000,-4191.6756
145,292000,-4191.6756
147,296000,-4191.3391
149,300000,-4185.2925
151,304000,-4185.1063
153,308000,-4181.3671
155,312000,-4191.6756
157,316000,-4191.6756
159,320000,-4178.0083
161,324000,-4187.216
163,328000,-4191.6756
165,332000,-4182.2065
167,336000,-4182.78
169,340000,-4186.3007
171,344000,-4191.6756
173,348000,-4191.6756
175,352000,-4186.4499
177,356000,-4183.0969
179,360000,-4185.3994
181,364000,-4191.6756
183,368000,-4183.0289
185,372000,-4191.6756
187,376000,-4191.6756
189,380000,-4191.6756
191,384000,-4179.6597
193,388000,-4181.2963
195,392000,-4182.9639
197,396000,-4185.4188
199,400000,-4190.799
201,404000,-4191.6756
203,408000,-4185.535
205,412000,-4191.6756
207,416000,-4183.0202
209,420000,-4188.399
211,424000,-4191.6756
213,428000,-4188.7799
215,432000,-4191.6756
217,436000,-4191.6756
219,440000,-4183.7516
221,444000,-4186.0789
223,448000,-4183.3386
225,452000,-4190.1806
227,456000,-4191.6756
229,460000,-4184.8046
231,464000,-4191.6756
233,468000,-4191.6756
235,472000,-4175.0801
237,476000,-4175.9615
239,480000,-4184.3956
241,484000,-4188.9425
243,488000,-4187.3644
245,492000,-4182.6279
247,496000,-4189.1673
249,500000,-4191.6756
251,504000,-4191.6756
253,508000,-4191.6756
255,512000,-4183.1889
257,516000,-4189.4176
259,520000,-4190.8412
261,524000,-4187.2248
263,528000,-4191.6756
265,532000,-4183.415
267,536000,-4189.9235
269,540000,-4186.0644
271,544000,-4191.6756
273,548000,-4191.6756
275,552000,-4183.9451
277,556000,-4191.6756
279,560000,-4191.6756
281,564000,-4191.6756
283,568000,-4191.6756
285,572000,-4188.0494
287,576000,-4189.8563
289,580000,-4183.2386
291,584000,-4191.0675
293,588000,-4191.6756
295,592000,-4191.6756
297,596000,-4183.2388
299,600000,-4191.6756
301,604000,-4191.6756
303,608000,-4191.6756
305,612000,-4184.6576
307,616000,-4186.6596
309,620000,-4191.6756
311,624000,-4191.6756
313,628000,-4182.2175
315,632000,-4191.6756
317,636000,-4191.6756
319,640000,-4183.4289
321,644000,-4190.5067
323,648000,-4180.8718
325,652000,-4190.3398
327,656000,-4191.6756
329,660000,-4187.2933
331,664000,-4185.2565
333,668000,-4187.6737
335,672000,-4185.8061
337,676000,-4183.0352
339,680000,-4182.9073
341,684000,-4185.5818
343,688000,-4175.7251
345,692000,-4186.9307
347,696000,-4191.6756
349,700000,-4187.3423
351,704000,-4184.3954
353,708000,-4188.3923
355,712000,-4191.4072
357,716000,-4191.1028
359,720000,-4191.6756
361,724000,-4174.1377
363,728000,-4191.6756
365,732000,-4191.6756
367,736000,-4182.6593
369,740000,-4178.7255
371,744000,-4182.6148
373,748000,-4183.0227
375,752000,-4187.8375
377,756000,-4185.4231
379,760000,-4183.3427
381,764000,-4188.3795
383,768000,-4188.0283
385,772000,-4183.1906
387,776000,-4191.6756
389,780000,-4191.6756
391,784000,-4185.5049
393,788000,-4191.6756
395,792000,-4183.0423
397,796000,-4185.8061
399,800000,-4186.0413
401,804000,-4184.5434
403,808000,-4191.6756
405,812000,-4182.6829
407,816000,-4187.5528
409,820000,-4177.2642
411,824000,-4182.8039
413,828000,-4178.1562
415,832000,-4191.6756
417,836000,-4183.5686
419,840000,-4191.6756
421,844000,-4191.6756
423,848000,-4189.8818
425,852000,-4191.6756
427,856000,-4191.6756
429,860000,-4183.3607
431,864000,-4184.1562
433,868000,-4191.6756
435,872000,-4182.8836
437,876000,-4182.6057
439,880000,-4191.6756
441,884000,-4185.9487
443,888000,-4177.1135
445,892000,-4183.1829
447,896000,-4191.6756
449,900000,-4182.6426
451,904000,-4191.3292
453,908000,-4191.6756
455,912000,-4191.6756
457,916000,-4183.1396
459,920000,-4191.6756
461,924000,-4187.0907
463,928000,-4191.6756
465,932000,-4191.6756
467,936000,-4182.9867
469,940000,-4184.7447
471,944000,-4191.6756
473,948000,-4183.0126
475,952000,-4191.6756
477,956000,-4183.1384
479,960000,-4191.6756
481,964000,-4191.6756
483,968000,-4191.6756
485,972000,-4191.6756
487,976000,-4191.6756
489,980000,-4182.8615
491,984000,-4191.6756
493,988000,-4804.5953
495,992000,-4191.6756
497,996000,-4189.1695
499,1000000,-4182.9525
501,1004000,-4184.8442
503,1008000,-4177.1181
505,1012000,-4186.8302
507,1016000,-4188.4173
509,1020000,-4189.3995
511,1024000,-4173.5412
513,1028000,-4185.5201
515,1032000,-4179.0178
517,1036000,-4175.8328
519,1040000,-4180.8919
521,1044000,-4556.5375
523,1048000,-4190.8301
525,1052000,-4187.4971
527,1056000,-4487.6509
529,1060000,-4182.7538
531,1064000,-4184.3301
533,1068000,-4191.6756
535,1072000,-4183.624
537,1076000,-4173.899
539,1080000,-4175.8742
541,1084000,-4189.6536
543,1088000,-4173.4586
545,1092000,-4176.9095
547,1096000,-4182.6198
549,1100000,-4174.0921
551,1104000,-4184.3246
553,1108000,-4149.4287
555,1112000,-4191.6756
557,1116000,-4173.8934
559,1120000,-4182.7266
561,1124000,-4183.1112
563,1128000,-4136.1772
565,1132000,-4191.6756
567,1136000,-4189.1753
569,1140000,-4184.764
571,1144000,-4178.7937
