episode,timestep,reward
1,4000,486.0
1,4000,516.0
3,8000,137.0
3,8000,147.0
5,12000,422.0
5,12000,1478.0
7,16000,115.0
7,16000,385.0
9,20000,151.0
9,20000,921.0
11,24000,269.0
11,24000,42.0
13,28000,38.0
13,28000,1967.0
15,32000,266.0
15,32000,1453.0
17,36000,0.0
17,36000,840.0
19,40000,287.0
19,40000,571.0
21,44000,526.0
21,44000,175.0
23,48000,163.0
23,48000,246.0
25,52000,184.0
25,52000,67.0
27,56000,1079.0
27,56000,583.0
29,60000,1748.0
29,60000,58.0
31,64000,1321.0
31,64000,374.0
33,68000,72.0
33,68000,43.0
35,72000,208.0
35,72000,624.0
37,76000,931.0
37,76000,1044.0
39,80000,409.0
39,80000,92.0
41,84000,212.0
41,84000,810.0
43,88000,402.0
43,88000,155.0
45,92000,693.0
45,92000,143.0
47,96000,238.0
47,96000,1622.0
49,100000,788.0
49,100000,197.0
51,104000,521.0
51,104000,1431.0
53,108000,397.0
53,108000,57.0
55,112000,234.0
55,112000,166.0
57,116000,325.0
57,116000,381.0
59,120000,643.0
59,120000,750.0
61,124000,969.0
61,124000,1232.0
63,128000,161.0
63,128000,108.0
65,132000,134.0
65,132000,220.0
67,136000,230.0
67,136000,227.0
69,140000,631.0
69,140000,798.0
71,144000,1276.0
71,144000,599.0
73,148000,650.0
73,148000,117.0
75,152000,0.0
75,152000,2034.0
77,156000,118.0
77,156000,84.0
79,160000,65.0
79,160000,668.0
81,164000,601.0
81,164000,140.0
83,168000,91.0
83,168000,264.0
85,172000,149.0
85,172000,111.0
87,176000,591.0
87,176000,705.0
90,180000,596.6667
90,180000,-100.0
92,184000,90.0
92,184000,103.0
94,188000,2953.0
94,188000,780.0
96,192000,366.0
96,192000,0.0
98,196000,1242.0
98,196000,123.0
100,200000,431.0
100,200000,163.0
102,204000,665.0
102,204000,47.0
104,208000,40.0
104,208000,167.0
106,212000,152.0
106,212000,1011.0
108,216000,52.0
108,216000,242.0
110,220000,158.0
110,220000,401.0
112,224000,1898.0
112,224000,50.0
114,228000,711.0
114,228000,197.0
116,232000,115.0
116,232000,1596.0
118,236000,93.0
118,236000,77.0
120,240000,174.0
120,240000,1431.0
122,244000,1298.0
122,244000,202.0
124,248000,1793.0
124,248000,194.0
126,252000,84.0
126,252000,91.0
128,256000,563.0
128,256000,120.0
130,260000,302.0
130,260000,785.0
132,264000,603.0
132,264000,342.0
134,268000,162.0
134,268000,81.0
136,272000,398.0
136,272000,49.0
138,276000,123.0
138,276000,58.0
140,280000,307.0
140,280000,112.0
142,284000,2013.0
142,284000,383.0
144,288000,246.0
144,288000,70.0
146,292000,708.0
146,292000,101.0
148,296000,78.0
148,296000,133.0
150,300000,1307.0
150,300000,0.0
152,304000,393.0
152,304000,1702.0
154,308000,1070.0
154,308000,481.0
156,312000,1594.0
156,312000,168.0
158,316000,555.0
158,316000,0.0
160,320000,168.0
160,320000,43.0
162,324000,250.0
162,324000,143.0
164,328000,550.0
164,328000,942.0
166,332000,96.0
166,332000,411.0
168,336000,335.0
168,336000,330.0
170,340000,1017.0
170,340000,244.0
172,344000,258.0
172,344000,0.0
174,348000,158.0
174,348000,22.0
176,352000,0.0
176,352000,322.0
178,356000,40.0
178,356000,25.0
180,360000,178.0
180,360000,117.0
182,364000,204.0
182,364000,288.0
184,368000,645.0
184,368000,135.0
186,372000,1373.0
186,372000,132.0
188,376000,19.0
188,376000,125.0
190,380000,116.0
190,380000,247.0
192,384000,290.0
192,384000,19.0
194,388000,274.0
194,388000,40.0
196,392000,60.0
196,392000,113.0
198,396000,223.0
198,396000,49.0
200,400000,937.0
200,400000,201.0
202,404000,2329.0
202,404000,254.0
204,408000,107.0
204,408000,115.0
206,412000,125.0
206,412000,121.0
208,416000,80.0
208,416000,141.0
210,420000,243.0
210,420000,111.0
212,424000,290.0
212,424000,305.0
214,428000,2949.0
214,428000,12.0
216,432000,931.0
216,432000,-536.0
218,436000,499.0
218,436000,269.0
220,440000,346.0
220,440000,577.0
222,444000,79.0
222,444000,431.0
224,448000,431.0
224,448000,69.0
226,452000,0.0
226,452000,103.0
228,456000,283.0
228,456000,29.0
230,460000,173.0
230,460000,1148.0
232,464000,224.0
232,464000,97.0
234,468000,169.0
234,468000,130.0
236,472000,201.0
236,472000,190.0
238,476000,985.0
238,476000,178.0
240,480000,130.0
240,480000,226.0
242,484000,892.0
242,484000,228.0
244,488000,139.0
244,488000,81.0
246,492000,1021.0
246,492000,294.0
248,496000,1625.0
248,496000,73.0
250,500000,742.0
250,500000,105.0
252,504000,32.0
252,504000,916.0
254,508000,101.0
254,508000,59.0
256,512000,1872.0
256,512000,135.0
258,516000,95.0
258,516000,16.0
260,520000,108.0
260,520000,144.0
262,524000,0.0
262,524000,488.0
264,528000,231.0
264,528000,24.0
266,532000,44.0
266,532000,118.0
268,536000,16.0
268,536000,383.0
270,540000,93.0
270,540000,220.0
272,544000,33.0
272,544000,340.0
274,548000,554.0
274,548000,28.0
276,552000,97.0
276,552000,180.0
278,556000,102.0
278,556000,150.0
280,560000,446.0
280,560000,248.0
282,564000,186.0
282,564000,0.0
284,568000,556.0
284,568000,176.0
286,572000,941.0
286,572000,300.0
288,576000,211.0
288,576000,31.0
290,580000,522.0
290,580000,394.0
292,584000,255.0
292,584000,122.0
294,588000,28.0
294,588000,169.0
296,592000,53.0
296,592000,96.0
298,596000,110.0
298,596000,58.0
300,600000,0.0
300,600000,80.0
302,604000,358.0
302,604000,28.0
304,608000,81.0
304,608000,47.0
306,612000,38.0
306,612000,546.0
308,616000,82.0
308,616000,169.0
310,620000,174.0
310,620000,160.0
312,624000,815.0
312,624000,94.0
314,628000,480.0
314,628000,117.0
316,632000,37.0
316,632000,201.0
318,636000,53.0
318,636000,1085.0
320,640000,216.0
320,640000,543.0
322,644000,822.0
322,644000,135.0
324,648000,592.0
324,648000,66.0
326,652000,69.0
326,652000,123.0
328,656000,138.0
328,656000,161.0
330,660000,16.0
330,660000,20.0
332,664000,69.0
332,664000,26.0
334,668000,423.0
334,668000,1113.0
336,672000,511.0
336,672000,171.0
338,676000,78.0
338,676000,409.0
340,680000,356.0
340,680000,115.0
