episode,timestep,reward
1,4000,3106.4531
1,4000,4640.6177
3,8000,4686.0485
3,8000,4718.6256
5,12000,871.7889
5,12000,4646.4962
7,16000,6035.5286
7,16000,4838.4451
9,20000,4496.786
9,20000,4898.4627
11,24000,3729.0786
11,24000,4714.4122
13,28000,7584.5884
13,28000,4804.6902
15,32000,4633.8582
15,32000,5152.1203
17,36000,4168.2693
17,36000,4739.7905
19,40000,4875.2841
19,40000,5157.9332
21,44000,3740.3227
21,44000,5385.4482
23,48000,2047.7264
23,48000,4661.5519
25,52000,6561.8677
25,52000,3358.774
27,56000,6319.9424
27,56000,1991.9322
29,60000,5897.4069
29,60000,3808.7233
31,64000,3246.0101
31,64000,3436.3417
33,68000,4835.5014
33,68000,5461.1468
35,72000,2442.8953
35,72000,5165.2157
37,76000,3231.3938
37,76000,3104.9984
39,80000,2934.9604
39,80000,3254.2927
41,84000,5635.9475
41,84000,4929.8085
43,88000,1733.0429
43,88000,2805.7529
45,92000,4035.2358
45,92000,5311.126
47,96000,2972.3466
47,96000,2211.3246
49,100000,5424.8818
49,100000,3788.8248
51,104000,5406.0688
51,104000,1180.1686
53,108000,6171.4092
53,108000,5971.5204
55,112000,7031.813
55,112000,5621.5504
57,116000,6260.8686
57,116000,3823.0211
59,120000,5021.2862
59,120000,4978.4431
61,124000,3342.5586
61,124000,2821.5244
63,128000,6698.5936
63,128000,3300.365
65,132000,1378.9952
65,132000,3364.296
67,136000,4758.3467
67,136000,3438.9514
69,140000,2395.13
69,140000,750.9337
71,144000,4053.3744
71,144000,4744.8663
73,148000,4965.3928
73,148000,5302.7337
75,152000,4335.9193
75,152000,360.1949
77,156000,3989.7924
77,156000,4856.5539
79,160000,2353.1833
79,160000,4862.1094
81,164000,2218.2211
81,164000,2741.1182
83,168000,3277.5956
83,168000,340.9488
85,172000,5414.9594
85,172000,2444.0892
87,176000,3512.6218
87,176000,4018.037
89,180000,2399.0307
89,180000,2641.6968
91,184000,2621.0564
91,184000,2237.0204
93,188000,2668.2828
93,188000,4469.098
95,192000,2192.0152
95,192000,2133.3398
97,196000,721.205
97,196000,2096.3026
99,200000,3814.7729
99,200000,2333.5649
101,204000,4403.0348
101,204000,773.5305
103,208000,3116.8006
103,208000,2853.93
105,212000,3839.8671
105,212000,1351.1154
107,216000,5119.5147
107,216000,1077.2999
109,220000,2524.6161
109,220000,2375.915
111,224000,3193.0696
111,224000,1810.0638
113,228000,2864.9408
113,228000,74.7509
115,232000,2591.8864
115,232000,2097.8528
117,236000,4251.9889
117,236000,1864.9712
119,240000,248.5784
119,240000,3890.2342
121,244000,2740.0609
121,244000,1118.9579
123,248000,5482.752
123,248000,1652.6096
125,252000,4925.3486
125,252000,2492.5919
127,256000,5195.4215
127,256000,559.6275
129,260000,5743.7854
129,260000,1069.5437
131,264000,4523.0486
131,264000,994.0021
133,268000,2075.5514
133,268000,3848.8818
135,272000,6038.2376
135,272000,1422.6705
137,276000,927.0178
137,276000,4209.742
139,280000,5990.9252
139,280000,2855.3842
141,284000,1553.1421
141,284000,2150.973
143,288000,6210.9387
143,288000,5043.5525
145,292000,6597.6251
145,292000,5288.0603
147,296000,6300.2849
147,296000,4686.4239
149,300000,4750.7552
149,300000,4204.1072
151,304000,6578.79
151,304000,4764.4749
153,308000,6423.5702
153,308000,4874.5937
155,312000,5720.6868
155,312000,5046.1087
157,316000,5750.7621
157,316000,2858.3923
159,320000,117.7418
159,320000,3024.0413
161,324000,5022.1924
161,324000,4666.9095
163,328000,5894.2774
163,328000,4614.5661
165,332000,3472.4431
165,332000,4352.5935
167,336000,4046.1111
167,336000,2238.6017
169,340000,4108.5159
169,340000,2692.201
171,344000,3036.5616
171,344000,4491.4416
173,348000,1358.4841
173,348000,3986.2206
175,352000,3539.6421
175,352000,2173.6531
177,356000,5446.5317
177,356000,4926.958
179,360000,5198.3129
179,360000,338.5764
181,364000,4958.3678
181,364000,523.0018
183,368000,3690.9674
183,368000,105.5582
185,372000,2114.6005
185,372000,1968.194
187,376000,5273.9774
187,376000,2445.1074
189,380000,6879.6586
189,380000,2537.4013
191,384000,4914.5246
191,384000,2848.305
193,388000,1682.4207
193,388000,4433.6959
195,392000,5861.3221
195,392000,876.5262
197,396000,6008.9587
197,396000,2777.3949
199,400000,6440.5928
199,400000,5462.0364
201,404000,5629.577
201,404000,2437.9935
203,408000,3318.3378
203,408000,269.0076
205,412000,5100.9167
205,412000,259.7602
207,416000,5579.5494
207,416000,378.026
209,420000,3000.6699
209,420000,2170.9104
211,424000,4838.1888
211,424000,5202.5914
213,428000,4426.9174
213,428000,4803.8959
215,432000,5818.3774
215,432000,2702.2062
217,436000,5468.7256
217,436000,5020.7356
219,440000,4167.7074
219,440000,4707.7566
221,444000,5315.5191
221,444000,2962.2669
223,448000,5528.9873
223,448000,465.4292
225,452000,4505.0063
225,452000,250.7688
227,456000,5306.9993
227,456000,3033.324
229,460000,1431.5818
229,460000,2801.4503
231,464000,4671.7643
231,464000,2458.8054
233,468000,5128.9325
233,468000,434.16
235,472000,2848.129
235,472000,3876.2091
237,476000,2962.6486
237,476000,2031.2381
239,480000,4629.0698
239,480000,2946.8122
241,484000,5517.453
241,484000,-300.1969
243,488000,3956.2159
243,488000,441.3713
245,492000,2919.2742
245,492000,-121.214
247,496000,3377.8404
247,496000,45.3639
249,500000,3921.8493
249,500000,4801.6078
251,504000,5961.3748
251,504000,3685.697
253,508000,4587.0843
253,508000,2267.8947
255,512000,1454.6506
255,512000,2381.0338
257,516000,1714.7786
257,516000,3260.1982
259,520000,4924.0536
259,520000,1938.4489
261,524000,3011.1419
261,524000,2129.981
263,528000,4768.6624
263,528000,2383.7903
265,532000,3255.8926
265,532000,2978.5238
267,536000,3178.2251
267,536000,4112.4668
269,540000,5998.1594
269,540000,2674.4095
271,544000,2727.5038
271,544000,4729.214
273,548000,4602.6353
273,548000,2396.2177
275,552000,3600.4489
275,552000,-100.8523
277,556000,5564.5651
277,556000,4912.046
279,560000,3102.0261
279,560000,3106.0999
281,564000,4350.59
281,564000,1406.6473
283,568000,3789.6582
283,568000,4284.4588
285,572000,4053.6942
285,572000,2119.3558
287,576000,4242.1682
287,576000,4401.5808
289,580000,5472.3699
289,580000,4308.8337
291,584000,4891.9246
291,584000,4986.9954
293,588000,5391.802
293,588000,4671.0432
295,592000,6145.0449
295,592000,4695.3019
297,596000,5425.456
297,596000,4489.3321
299,600000,5149.113
299,600000,5215.5501
301,604000,5145.5314
301,604000,2180.3382
303,608000,6745.8307
303,608000,4913.589
305,612000,6421.6984
305,612000,5228.448
307,616000,5079.7003
307,616000,4641.7534
309,620000,5924.3243
309,620000,4627.2473
311,624000,6288.3623
311,624000,6100.2937
313,628000,3249.0526
313,628000,4011.4786
315,632000,6094.7535
315,632000,3666.8457
317,636000,3699.6555
317,636000,2209.4667
319,640000,4668.1741
319,640000,5234.9525
321,644000,3764.5009
321,644000,4814.8311
323,648000,5018.8482
323,648000,2290.297
325,652000,5452.1303
325,652000,5072.4245
327,656000,3785.6024
327,656000,3735.9918
329,660000,711.6227
329,660000,3405.8519
331,664000,4629.7427
331,664000,4247.2737
333,668000,3059.9268
333,668000,1258.6401
335,672000,1768.3743
335,672000,2052.6288
337,676000,5662.0029
337,676000,5342.1536
339,680000,4871.7457
339,680000,4765.7933
341,684000,5535.2657
341,684000,3309.7528
343,688000,3635.6517
343,688000,4208.5801
345,692000,6249.7232
