Episode,Observation,Action1,Action2
0,"[ 3.84993474e-01  4.16680841e-01  5.44358620e-01  1.00000000e+00
  9.34780483e-01  1.00000000e+00  5.44580292e-01  4.16768206e-01
  3.85020424e-01 -2.99780465e-01  7.35525135e-06  1.30078042e-01
  3.84979583e-01  4.16673802e-01  5.44364192e-01  1.00000000e+00
  9.34775781e-01  1.00000000e+00  5.44585887e-01  4.16761175e-01
  3.85006540e-01  2.99780465e-01 -7.35525135e-06 -2.15554431e-01
  7.59195470e-02  4.90642212e-02  6.63971932e-01  5.13037023e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993486e-01  4.16680928e-01  5.44358869e-01  1.00000000e+00
  9.34801791e-01  1.00000000e+00  5.44580044e-01  4.16768121e-01
  3.85020413e-01 -2.99801774e-01  7.36815240e-06  1.30070299e-01
  3.84979594e-01  4.16673887e-01  5.44364440e-01  1.00000000e+00
  9.34797090e-01  1.00000000e+00  5.44585637e-01  4.16761088e-01
  3.85006528e-01  2.99801774e-01 -7.36815240e-06 -2.15535006e-01
  7.59195470e-02  4.90642212e-02  6.63858425e-01  5.12890113e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993496e-01  4.16681010e-01  5.44359108e-01  1.00000000e+00
  9.34820990e-01  1.00000000e+00  5.44579807e-01  4.16768040e-01
  3.85020404e-01 -2.99820973e-01  7.37877508e-06  1.30063300e-01
  3.84979603e-01  4.16673968e-01  5.44364677e-01  1.00000000e+00
  9.34816288e-01  1.00000000e+00  5.44585398e-01  4.16761006e-01
  3.85006518e-01  2.99820973e-01 -7.37877508e-06 -2.15517531e-01
  7.59195470e-02  4.90642212e-02  6.63740845e-01  5.12737915e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993505e-01  4.16681087e-01  5.44359334e-01  1.00000000e+00
  9.34838691e-01  1.00000000e+00  5.44579581e-01  4.16767963e-01
  3.85020396e-01 -2.99838674e-01  7.38866379e-06  1.30056833e-01
  3.84979611e-01  4.16674045e-01  5.44364903e-01  1.00000000e+00
  9.34833990e-01  1.00000000e+00  5.44585171e-01  4.16760928e-01
  3.85006509e-01  2.99838674e-01 -7.38866379e-06 -2.15501434e-01
  7.59195470e-02  4.90642212e-02  6.63620822e-01  5.12582535e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993514e-01  4.16681161e-01  5.44359549e-01  1.00000000e+00
  9.34855376e-01  1.00000000e+00  5.44579368e-01  4.16767890e-01
  3.85020388e-01 -2.99855359e-01  7.39844323e-06  1.30050737e-01
  3.84979619e-01  4.16674118e-01  5.44365116e-01  1.00000000e+00
  9.34850674e-01  1.00000000e+00  5.44584957e-01  4.16760855e-01
  3.85006500e-01  2.99855359e-01 -7.39844323e-06 -2.15486267e-01
  7.59195470e-02  4.90642212e-02  6.63500122e-01  5.12426259e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993523e-01  4.16681232e-01  5.44359755e-01  1.00000000e+00
  9.34871426e-01  1.00000000e+00  5.44579163e-01  4.16767820e-01
  3.85020380e-01 -2.99871410e-01  7.40807160e-06  1.30044874e-01
  3.84979627e-01  4.16674188e-01  5.44365321e-01  1.00000000e+00
  9.34866725e-01  1.00000000e+00  5.44584751e-01  4.16760784e-01
  3.85006491e-01  2.99871410e-01 -7.40807160e-06 -2.15471678e-01
  7.59195470e-02  4.90642212e-02  6.63380645e-01  5.12271549e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993532e-01  4.16681301e-01  5.44359956e-01  1.00000000e+00
  9.34887143e-01  1.00000000e+00  5.44578962e-01  4.16767751e-01
  3.85020372e-01 -2.99887127e-01  7.41758432e-06  1.30039135e-01
  3.84979635e-01  4.16674256e-01  5.44365521e-01  1.00000000e+00
  9.34882441e-01  1.00000000e+00  5.44584550e-01  4.16760714e-01
  3.85006482e-01  2.99887127e-01 -7.41758432e-06 -2.15457392e-01
  7.59195470e-02  4.90642212e-02  6.63383471e-01  5.12275209e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993540e-01  4.16681370e-01  5.44360154e-01  1.00000000e+00
  9.34902764e-01  1.00000000e+00  5.44578765e-01  4.16767684e-01
  3.85020364e-01 -2.99902748e-01  7.42704224e-06  1.30033433e-01
  3.84979643e-01  4.16674324e-01  5.44365718e-01  1.00000000e+00
  9.34898063e-01  1.00000000e+00  5.44584351e-01  4.16760646e-01
  3.85006473e-01  2.99902748e-01 -7.42704224e-06 -2.15443194e-01
  7.59195470e-02  4.90642212e-02  6.63386077e-01  5.12278583e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993549e-01  4.16681438e-01  5.44360352e-01  1.00000000e+00
  9.34918479e-01  1.00000000e+00  5.44578568e-01  4.16767616e-01
  3.85020356e-01 -2.99918462e-01  7.43651269e-06  1.30027701e-01
  3.84979651e-01  4.16674391e-01  5.44365916e-01  1.00000000e+00
  9.34913777e-01  1.00000000e+00  5.44584153e-01  4.16760577e-01
  3.85006465e-01  2.99918462e-01 -7.43651269e-06 -2.15428909e-01
  7.59195470e-02  4.90642212e-02  6.63388479e-01  5.12281694e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993558e-01  4.16681507e-01  5.44360552e-01  1.00000000e+00
  9.34934439e-01  1.00000000e+00  5.44578369e-01  4.16767548e-01
  3.85020347e-01 -2.99934422e-01  7.44605982e-06  1.30021883e-01
  3.84979660e-01  4.16674459e-01  5.44366114e-01  1.00000000e+00
  9.34929737e-01  1.00000000e+00  5.44583953e-01  4.16760509e-01
  3.85006456e-01  2.99934422e-01 -7.44605982e-06 -2.15414400e-01
  7.59195470e-02  4.90642212e-02  6.63390692e-01  5.12284560e-01]","[0, 0]","[0, 0]"
